"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C11";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"47pF";;;
2;"U6";"DIP-14_W7.62mm_Socket";1;"74HCT32";;;
3;"C14,C6,C3,C7,C2,C5,C16,C4,C1";"CAP_C320C_MR_X7R_KEM";9;"0.1uF";;;
4;"SW1";"SW_B3F-1000_OMR";1;"B3F-1000";;;
5;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"1M";;;
6;"X1";"Crystal_HC49-U_Vertical";1;"12MHz";;;
7;"R9,R4,R8,R7,R5,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";6;"100K";;;
8;"C8,C9";"CAP_C317_KEM";2;"24pF";;;
9;"X2";"Crystal_HC49-U_Vertical";1;"1.8432 MHz";;;
10;"U3";"DIP-32_W15.24mm";1;"39FS010";;;
11;"J2";"PinHeader_1x06_P2.54mm_Vertical";1;"FTDI";;;
12;"U2";"DIP-28_W15.24mm_Socket";1;"62256";;;
13;"U5";"DIP-14_W7.62mm_Socket";1;"74HCT04";;;
14;"C15";"CAP_C315C_MR_X7R_KEM";1;"0.01uF";;;
15;"U1";"DIP-40_W15.24mm_Socket";1;"63C09";;;
16;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P5.08mm_Vertical";1;"1.5k";;;
17;"C13";"CAP_C330C_MR_X7R_KEM";1;"1uF";;;
18;"C12";"CAP_C317_KEM";1;"18pF";;;
19;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"PWR";;;
20;"U7";"DIP-14_W7.62mm_Socket";1;"74HCT30";;;
21;"U4";"DIP-40_W15.24mm_Socket";1;"16550";;;
